[siege-trace] t137a__04 t=32734 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=32735 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=32735 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=32735 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=32735 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=32735 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=32735 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=32735 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=32736 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=32736 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=32737 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=32738 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=32765 (13,19) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=32766 (23,12) map=6 stage=2 hp=96%
[siege-trace] t137a__04 t=32766 (36,14) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=32767 (27,12) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=32767 (33,9) map=6 stage=2 hp=99%
[siege-trace] t137a__09 t=32767 (34,27) map=6 stage=2 hp=90%
[siege-trace] t137a__00 t=32768 (27,21) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=32768 (14,3) map=6 stage=2 hp=95%
[siege-trace] t137a__07 t=32768 (14,21) map=6 stage=2 hp=96%
[siege-trace] t137a__01 t=32769 (27,20) map=6 stage=2 hp=84%
[siege-trace] t137a__05 t=32769 (21,26) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=32770 (26,2) map=6 stage=2 hp=96%
[siege-trace] t137a__08 t=32795 (23,10) map=6 stage=3 hp=69%
[siege-trace] t137a__11 t=32796 (22,10) map=6 stage=3 hp=100%
[siege-trace] t137a__04 t=32796 (22,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=32797 (23,11) map=6 stage=3 hp=79%
[siege-trace] t137a__02 t=32797 (23,11) map=6 stage=3 hp=48%
[siege-trace] t137a__09 t=32797 (22,10) map=6 stage=3 hp=96%
[siege-trace] t137a__00 t=32798 (23,10) map=6 stage=3 hp=64%
[siege-trace] t137a__06 t=32798 (28,10) map=1 stage=3 hp=100%
[siege-trace] t137a__01 t=32799 (23,10) map=6 stage=3 hp=81%
[siege-trace] t137a__07 t=32799 (24,10) map=1 stage=3 hp=100%
[siege-trace] t137a__05 t=32799 (23,10) map=6 stage=3 hp=28%
[siege-trace] t137a__03 t=32800 (23,10) map=6 stage=3 hp=69%
[siege-trace] t137a__08 t=32825 (27,10) map=1 stage=4 hp=4%
[siege-trace] t137a__11 t=32826 (26,10) map=6 stage=4 hp=89%
[siege-trace] t137a__04 t=32826 (26,10) map=6 stage=4 hp=79%
[siege-trace] t137a__10 t=32827 (26,10) map=6 stage=4 hp=70%
[siege-trace] t137a__02 t=32827 (26,10) map=1 stage=4 hp=100%
[siege-trace] t137a__09 t=32827 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__00 t=32828 (26,10) map=1 stage=4 hp=94%
[siege-trace] t137a__06 t=32828 (26,10) map=1 stage=0 hp=0%
[siege-trace] t137a__01 t=32829 (23,10) map=1 stage=3 hp=89%
[siege-trace] t137a__07 t=32829 (26,10) map=1 stage=4 hp=32%
[siege-trace] t137a__05 t=32829 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__03 t=32830 (26,10) map=6 stage=4 hp=39%
[siege-trace] t137a__08 t=32855 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=32856 (27,10) map=6 stage=5 hp=74%
[siege-trace] t137a__04 t=32856 (28,10) map=6 stage=5 hp=14%
[siege-trace] t137a__10 t=32857 (28,10) map=6 stage=5 hp=71%
[siege-trace] t137a__02 t=32857 (28,10) map=1 stage=5 hp=47%
[siege-trace] t137a__09 t=32857 (28,10) map=6 stage=5 hp=100%
