[siege-trace] t137a__04 t=34221 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=34221 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=34221 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=34222 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=34222 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=34222 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=34222 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=34222 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=34223 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=34223 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=34224 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=34224 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=34252 (30,24) map=6 stage=2 hp=100%
[siege-trace] t137a__00 t=34252 (30,13) map=6 stage=2 hp=100%
[siege-trace] t137a__01 t=34253 (34,27) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=34253 (11,16) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=34254 (8,23) map=6 stage=2 hp=99%
[siege-trace] t137a__03 t=34254 (33,8) map=6 stage=2 hp=100%
[siege-trace] t137a__04 t=34254 (23,17) map=6 stage=2 hp=71%
[siege-trace] t137a__11 t=34255 (23,27) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=34255 (20,15) map=6 stage=2 hp=100%
[siege-trace] t137a__08 t=34256 (28,26) map=6 stage=2 hp=97%
[siege-trace] t137a__07 t=34256 (12,3) map=6 stage=2 hp=95%
[siege-trace] t137a__05 t=34257 (25,6) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=34282 (23,10) map=6 stage=3 hp=8%
[siege-trace] t137a__00 t=34282 (23,10) map=6 stage=3 hp=94%
[siege-trace] t137a__01 t=34283 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=34283 (23,10) map=6 stage=3 hp=74%
[siege-trace] t137a__06 t=34284 (23,10) map=6 stage=3 hp=59%
[siege-trace] t137a__03 t=34284 (23,10) map=6 stage=3 hp=44%
[siege-trace] t137a__04 t=34284 (23,10) map=6 stage=3 hp=68%
[siege-trace] t137a__11 t=34285 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__02 t=34285 (23,10) map=6 stage=2 hp=0%
[siege-trace] t137a__08 t=34286 (23,10) map=6 stage=3 hp=74%
[siege-trace] t137a__07 t=34287 (15,18) map=6 stage=3 hp=95%
[siege-trace] t137a__05 t=34287 (23,10) map=6 stage=3 hp=75%
[siege-trace] t137a__00 t=34312 (24,10) map=1 stage=3 hp=82%
[siege-trace] t137a__09 t=34312 (26,10) map=6 stage=4 hp=87%
[siege-trace] t137a__01 t=34313 (26,10) map=6 stage=4 hp=2%
[siege-trace] t137a__10 t=34313 (26,10) map=6 stage=4 hp=2%
[siege-trace] t137a__06 t=34314 (23,10) map=1 stage=3 hp=84%
[siege-trace] t137a__03 t=34314 (26,10) map=6 stage=4 hp=4%
[siege-trace] t137a__04 t=34314 (26,10) map=6 stage=4 hp=18%
[siege-trace] t137a__11 t=34315 (26,10) map=6 stage=4 hp=74%
[siege-trace] t137a__02 t=34315 (25,10) map=1 stage=4 hp=21%
[siege-trace] t137a__08 t=34316 (24,10) map=1 stage=3 hp=22%
[siege-trace] t137a__07 t=34317 (26,10) map=1 stage=4 hp=28%
[siege-trace] t137a__05 t=34317 (23,10) map=1 stage=3 hp=45%
[siege-trace] t137a__00 t=34342 (26,10) map=1 stage=4 hp=39%
[siege-trace] t137a__09 t=34342 (23,10) map=1 stage=3 hp=19%
[siege-trace] t137a__01 t=34343 (26,10) map=1 stage=4 hp=85%
[siege-trace] t137a__10 t=34343 (23,10) map=6 stage=3 hp=83%
[siege-trace] t137a__06 t=34344 (26,10) map=1 stage=4 hp=86%
[siege-trace] t137a__03 t=34344 (26,10) map=1 stage=4 hp=2%
[siege-trace] t137a__11 t=34345 (28,10) map=6 stage=5 hp=76%
[siege-trace] t137a__02 t=34345 (28,10) map=1 stage=5 hp=24%
[siege-trace] t137a__08 t=34347 (22,11) map=6 stage=3 hp=96%
[siege-trace] t137a__07 t=34347 (23,10) map=6 stage=3 hp=98%
[siege-trace] t137a__04 t=34348 (20,27) map=6 stage=1 hp=100%
[siege-trace] t137a__05 t=34348 (21,11) map=6 stage=3 hp=100%
[siege-trace] t137a__00 t=34372 (26,10) map=6 stage=4 hp=38%
[siege-trace] t137a__09 t=34372 (24,10) map=6 stage=3 hp=55%
[siege-trace] t137a__01 t=34373 (28,10) map=1 stage=5 hp=25%
[siege-trace] t137a__10 t=34373 (23,10) map=1 stage=3 hp=84%
[siege-trace] t137a__06 t=34374 (43,12) map=1 stage=5 hp=19%
[siege-trace] t137a__03 t=34374 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=34375 (28,10) map=6 stage=5 hp=81%
[siege-trace] t137a__02 t=34375 (28,10) map=1 stage=0 hp=0%
[siege-trace] t137a__08 t=34377 (26,10) map=6 stage=4 hp=50%
[siege-trace] t137a__07 t=34377 (26,10) map=6 stage=4 hp=82%
[siege-trace] t137a__04 t=34378 (24,10) map=6 stage=3 hp=49%
[siege-trace] t137a__05 t=34378 (26,10) map=6 stage=4 hp=30%
[siege-trace] t137a__00 t=34402 (23,10) map=6 stage=3 hp=39%
[siege-trace] t137a__09 t=34402 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__01 t=34403 (28,10) map=1 stage=5 hp=27%
[siege-trace] t137a__10 t=34403 (26,10) map=1 stage=4 hp=84%
[siege-trace] t137a__06 t=34404 (23,10) map=6 stage=3 hp=69%
[siege-trace] t137a__03 t=34404 (26,10) map=6 stage=4 hp=92%
[siege-trace] t137a__02 t=34405 (24,10) map=6 stage=3 hp=94%
[siege-trace] t137a__11 t=34405 (34,16) map=1 stage=1 hp=100%
[siege-trace] t137a__08 t=34407 (28,10) map=6 stage=5 hp=14%
[siege-trace] t137a__07 t=34407 (28,10) map=6 stage=5 hp=13%
[siege-trace] t137a__04 t=34408 (26,10) map=6 stage=3 hp=0%
[siege-trace] t137a__05 t=34408 (23,10) map=6 stage=3 hp=71%
[siege-trace] t137a__00 t=34432 (24,10) map=1 stage=3 hp=94%
[siege-trace] t137a__09 t=34432 (23,10) map=1 stage=3 hp=43%
[siege-trace] t137a__01 t=34433 (28,10) map=1 stage=5 hp=17%
[siege-trace] t137a__10 t=34433 (28,10) map=1 stage=5 hp=2%
[siege-trace] t137a__06 t=34434 (26,10) map=6 stage=4 hp=21%
[siege-trace] t137a__03 t=34434 (10,8) map=6 stage=5 hp=63%
[siege-trace] t137a__02 t=34435 (26,10) map=6 stage=4 hp=44%
[siege-trace] t137a__11 t=34435 (23,10) map=1 stage=3 hp=56%
[siege-trace] t137a__08 t=34437 (24,10) map=1 stage=3 hp=71%
[siege-trace] t137a__07 t=34437 (28,10) map=6 stage=5 hp=13%
[siege-trace] t137a__05 t=34438 (26,10) map=6 stage=4 hp=49%
[siege-trace] t137a__04 t=34438 (22,14) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=34462 (26,10) map=1 stage=4 hp=34%
[siege-trace] t137a__09 t=34462 (34,16) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=34463 (28,10) map=1 stage=5 hp=21%
[siege-trace] t137a__10 t=34463 (24,10) map=6 stage=3 hp=80%
[siege-trace] t137a__06 t=34464 (23,10) map=6 stage=3 hp=63%
[siege-trace] t137a__03 t=34464 (26,18) map=6 stage=5 hp=25%
[siege-trace] t137a__02 t=34465 (28,10) map=6 stage=5 hp=10%
[siege-trace] t137a__11 t=34465 (23,10) map=6 stage=3 hp=70%
[siege-trace] t137a__08 t=34467 (26,10) map=1 stage=4 hp=66%
[siege-trace] t137a__07 t=34467 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__05 t=34468 (26,10) map=1 stage=4 hp=63%
[siege-trace] t137a__04 t=34468 (26,10) map=6 stage=4 hp=71%
