[siege-trace] t137a__04 t=44156 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=44157 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=44157 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=44157 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=44157 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=44157 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=44157 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=44157 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=44158 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=44158 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=44159 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=44160 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__04 t=44186 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__08 t=44187 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=44187 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=44187 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=44187 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=44187 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=44187 (16,16) map=6 stage=2 hp=60%
[siege-trace] t137a__03 t=44188 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__05 t=44189 (24,14) map=1 stage=0 hp=94%
[siege-trace] t137a__02 t=44189 (27,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=44191 (12,24) map=6 stage=2 hp=95%
[siege-trace] t137a__07 t=44195 (14,23) map=6 stage=1 hp=51%
[siege-trace] t137a__04 t=44216 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__00 t=44217 (23,10) map=6 stage=3 hp=90%
[siege-trace] t137a__09 t=44217 (23,10) map=6 stage=3 hp=89%
[siege-trace] t137a__06 t=44217 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__08 t=44217 (8,17) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=44217 (23,10) map=6 stage=3 hp=58%
[siege-trace] t137a__01 t=44217 (21,25) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=44218 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=44219 (23,10) map=1 stage=3 hp=64%
[siege-trace] t137a__02 t=44219 (23,10) map=1 stage=3 hp=100%
[siege-trace] t137a__11 t=44221 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__07 t=44225 (23,10) map=6 stage=3 hp=54%
[siege-trace] t137a__04 t=44246 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__00 t=44247 (26,10) map=6 stage=4 hp=96%
[siege-trace] t137a__09 t=44247 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__06 t=44247 (26,10) map=6 stage=4 hp=93%
[siege-trace] t137a__08 t=44247 (23,11) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=44247 (26,10) map=6 stage=4 hp=63%
[siege-trace] t137a__01 t=44247 (23,11) map=6 stage=3 hp=96%
[siege-trace] t137a__03 t=44248 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=44249 (26,10) map=1 stage=4 hp=63%
[siege-trace] t137a__02 t=44249 (26,10) map=1 stage=4 hp=100%
[siege-trace] t137a__11 t=44251 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__07 t=44255 (26,10) map=6 stage=4 hp=59%
[siege-trace] t137a__04 t=44276 (25,22) map=6 stage=5 hp=79%
[siege-trace] t137a__00 t=44277 (25,22) map=6 stage=5 hp=91%
[siege-trace] t137a__09 t=44277 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=44277 (25,22) map=6 stage=5 hp=99%
[siege-trace] t137a__08 t=44277 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=44277 (25,22) map=6 stage=5 hp=68%
[siege-trace] t137a__01 t=44277 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__03 t=44278 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=44279 (28,10) map=1 stage=5 hp=61%
[siege-trace] t137a__02 t=44279 (44,6) map=1 stage=5 hp=85%
[siege-trace] t137a__11 t=44281 (28,10) map=6 stage=5 hp=100%
