[siege-trace] t137d__04 t=28394 (41,24) map=1 stage=0 hp=100%
[siege-trace] t137d__01 t=28395 (29,19) map=1 stage=0 hp=100%
[siege-trace] t137d__00 t=28395 (41,20) map=1 stage=0 hp=100%
[siege-trace] t137d__05 t=28396 (31,4) map=1 stage=0 hp=100%
[siege-trace] t137d__03 t=28397 (41,3) map=1 stage=0 hp=100%
[siege-trace] t137d__02 t=28397 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__04 t=28424 (29,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=28425 (29,10) map=6 stage=11 hp=36%
[siege-trace] t137d__00 t=28425 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__05 t=28426 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=28427 (28,10) map=1 stage=10 hp=0%
[siege-trace] t137d__02 t=28427 (28,10) map=1 stage=11 hp=51%
[siege-trace] t137d__04 t=28454 (29,10) map=6 stage=11 hp=74%
[siege-trace] t137d__01 t=28455 (28,10) map=1 stage=11 hp=63%
[siege-trace] t137d__00 t=28455 (28,10) map=1 stage=11 hp=68%
[siege-trace] t137d__05 t=28456 (28,10) map=6 stage=11 hp=8%
[siege-trace] t137d__03 t=28457 (28,10) map=1 stage=11 hp=52%
[siege-trace] t137d__02 t=28457 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__04 t=28484 (29,10) map=6 stage=11 hp=9%
[siege-trace] t137d__01 t=28485 (28,10) map=1 stage=11 hp=11%
[siege-trace] t137d__00 t=28485 (28,10) map=1 stage=11 hp=72%
[siege-trace] t137d__03 t=28487 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__05 t=28487 (22,14) map=1 stage=10 hp=100%
[siege-trace] t137d__02 t=28487 (28,10) map=6 stage=11 hp=82%
[siege-trace] t137d__04 t=28514 (28,10) map=1 stage=11 hp=11%
[siege-trace] t137d__01 t=28515 (28,10) map=6 stage=11 hp=4%
[siege-trace] t137d__00 t=28515 (28,10) map=1 stage=11 hp=42%
[siege-trace] t137d__03 t=28517 (28,10) map=1 stage=11 hp=44%
[siege-trace] t137d__05 t=28517 (28,10) map=6 stage=11 hp=47%
[siege-trace] t137d__02 t=28517 (28,12) map=1 stage=11 hp=100%
[siege-trace] t137d__04 t=28544 (28,10) map=6 stage=11 hp=52%
[siege-trace] t137d__01 t=28545 (28,10) map=1 stage=11 hp=80%
[siege-trace] t137d__00 t=28545 (27,10) map=1 stage=11 hp=38%
[siege-trace] t137d__03 t=28547 (28,10) map=6 stage=11 hp=4%
[siege-trace] t137d__05 t=28547 (28,10) map=6 stage=11 hp=20%
[siege-trace] t137d__02 t=28547 (28,10) map=6 stage=11 hp=32%
[siege-trace] t137d__04 t=28574 (28,10) map=1 stage=11 hp=72%
[siege-trace] t137d__01 t=28575 (29,11) map=1 stage=11 hp=55%
[siege-trace] t137d__00 t=28575 (29,11) map=1 stage=11 hp=41%
[siege-trace] t137d__03 t=28577 (28,10) map=1 stage=11 hp=59%
[siege-trace] t137d__05 t=28577 (28,10) map=6 stage=11 hp=91%
[siege-trace] t137d__02 t=28577 (28,10) map=6 stage=11 hp=11%
[siege-trace] t137d__04 t=28604 (28,10) map=1 stage=11 hp=97%
[siege-trace] t137d__01 t=28605 (27,10) map=1 stage=11 hp=11%
[siege-trace] t137d__00 t=28605 (28,10) map=1 stage=11 hp=6%
[siege-trace] t137d__03 t=28607 (28,10) map=1 stage=11 hp=7%
[siege-trace] t137d__05 t=28607 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__02 t=28607 (28,10) map=6 stage=11 hp=15%
[siege-trace] t137d__04 t=28635 (20,23) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=28635 (27,10) map=1 stage=11 hp=13%
[siege-trace] t137d__00 t=28635 (27,10) map=1 stage=11 hp=10%
[siege-trace] t137d__03 t=28637 (28,10) map=1 stage=11 hp=91%
[siege-trace] t137d__05 t=28637 (28,10) map=6 stage=11 hp=21%
[siege-trace] t137d__02 t=28637 (28,10) map=6 stage=11 hp=14%
[siege-trace] t137d__04 t=28665 (28,10) map=1 stage=11 hp=43%
[siege-trace] t137d__01 t=28665 (28,10) map=6 stage=11 hp=72%
[siege-trace] t137d__00 t=28665 (28,10) map=1 stage=11 hp=16%
[siege-trace] t137d__03 t=28667 (28,10) map=1 stage=11 hp=14%
[siege-trace] t137d__02 t=28667 (28,10) map=6 stage=11 hp=10%
[siege-trace] t137d__05 t=28667 (28,10) map=1 stage=10 hp=0%
[siege-trace] t137d__04 t=28695 (28,10) map=1 stage=11 hp=73%
[siege-trace] t137d__01 t=28695 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__00 t=28696 (28,10) map=1 stage=11 hp=11%
[siege-trace] t137d__03 t=28697 (20,23) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=28697 (28,10) map=6 stage=11 hp=13%
[siege-trace] t137d__05 t=28697 (28,10) map=1 stage=11 hp=75%
[siege-trace] t137d__04 t=28725 (28,10) map=1 stage=11 hp=27%
[siege-trace] t137d__01 t=28725 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__00 t=28726 (28,10) map=6 stage=11 hp=18%
[siege-trace] t137d__03 t=28727 (28,10) map=1 stage=11 hp=75%
[siege-trace] t137d__02 t=28727 (28,10) map=6 stage=11 hp=19%
[siege-trace] t137d__05 t=28727 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__04 t=28755 (28,10) map=6 stage=11 hp=70%
[siege-trace] t137d__01 t=28755 (28,10) map=1 stage=11 hp=52%
[siege-trace] t137d__00 t=28756 (28,10) map=1 stage=11 hp=92%
[siege-trace] t137d__02 t=28757 (27,10) map=6 stage=11 hp=0%
[siege-trace] t137d__05 t=28757 (28,10) map=6 stage=11 hp=40%
[siege-trace] t137d__03 t=28758 (26,11) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=28785 (28,10) map=1 stage=11 hp=9%
[siege-trace] t137d__01 t=28785 (28,10) map=1 stage=11 hp=39%
[siege-trace] t137d__00 t=28786 (28,10) map=1 stage=11 hp=45%
[siege-trace] t137d__02 t=28787 (28,10) map=1 stage=11 hp=3%
[siege-trace] t137d__05 t=28787 (28,10) map=1 stage=11 hp=42%
[siege-trace] t137d__03 t=28788 (29,11) map=1 stage=11 hp=60%
