[siege-trace] t137a__04 t=38165 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=38165 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=38165 (19,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=38165 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=38166 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=38166 (37,15) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=38166 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=38166 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=38167 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=38167 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=38168 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=38168 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=38196 (23,20) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=38197 (32,11) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=38197 (18,18) map=6 stage=2 hp=97%
[siege-trace] t137a__02 t=38198 (22,11) map=6 stage=2 hp=100%
[siege-trace] t137a__00 t=38198 (7,24) map=6 stage=2 hp=100%
[siege-trace] t137a__01 t=38198 (26,23) map=6 stage=2 hp=100%
[siege-trace] t137a__04 t=38198 (10,5) map=6 stage=2 hp=78%
[siege-trace] t137a__07 t=38198 (19,20) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=38199 (5,23) map=6 stage=2 hp=100%
[siege-trace] t137a__08 t=38199 (1,25) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=38200 (23,11) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=38201 (37,27) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=38226 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__09 t=38227 (23,10) map=6 stage=3 hp=91%
[siege-trace] t137a__03 t=38227 (23,10) map=6 stage=3 hp=93%
[siege-trace] t137a__02 t=38228 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__00 t=38228 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__01 t=38228 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__04 t=38228 (23,10) map=6 stage=3 hp=83%
[siege-trace] t137a__07 t=38228 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=38229 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__08 t=38229 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=38230 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__06 t=38231 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=38256 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__09 t=38257 (26,10) map=6 stage=4 hp=96%
[siege-trace] t137a__03 t=38257 (26,11) map=6 stage=4 hp=99%
[siege-trace] t137a__02 t=38258 (26,11) map=6 stage=4 hp=98%
[siege-trace] t137a__00 t=38258 (26,11) map=6 stage=4 hp=95%
[siege-trace] t137a__01 t=38258 (26,11) map=6 stage=4 hp=100%
[siege-trace] t137a__04 t=38258 (26,11) map=6 stage=4 hp=89%
[siege-trace] t137a__07 t=38258 (26,11) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=38259 (26,11) map=6 stage=4 hp=100%
[siege-trace] t137a__08 t=38259 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=38260 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__06 t=38261 (26,11) map=6 stage=4 hp=100%
[siege-trace] t137a__11 t=38286 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=38287 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=38287 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=38288 (26,16) map=6 stage=5 hp=91%
[siege-trace] t137a__00 t=38288 (26,16) map=6 stage=5 hp=88%
[siege-trace] t137a__01 t=38288 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=38288 (26,16) map=6 stage=5 hp=94%
[siege-trace] t137a__07 t=38288 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=38289 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=38289 (26,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=38290 (26,16) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=38291 (26,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=38316 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=38317 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=38317 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=38318 (16,16) map=6 stage=5 hp=89%
[siege-trace] t137a__00 t=38318 (16,16) map=6 stage=5 hp=86%
[siege-trace] t137a__01 t=38318 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=38318 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=38318 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=38319 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=38319 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=38320 (16,16) map=6 stage=5 hp=100%
