[siege-trace] t137a__04 t=43316 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=43316 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=43316 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=43316 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=43316 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=43316 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=43317 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=43317 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=43318 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=43318 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=43318 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=43319 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__04 t=43346 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__08 t=43346 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=43346 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=43346 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=43346 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=43347 (20,7) map=6 stage=2 hp=89%
[siege-trace] t137a__06 t=43347 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=43347 (13,28) map=6 stage=2 hp=60%
[siege-trace] t137a__03 t=43348 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__05 t=43348 (24,14) map=1 stage=0 hp=94%
[siege-trace] t137a__02 t=43349 (27,6) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=43354 (14,23) map=6 stage=1 hp=54%
[siege-trace] t137a__04 t=43376 (23,10) map=6 stage=3 hp=89%
[siege-trace] t137a__08 t=43376 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=43376 (22,29) map=1 stage=0 hp=75%
[siege-trace] t137a__00 t=43376 (23,10) map=6 stage=3 hp=91%
[siege-trace] t137a__09 t=43376 (23,10) map=1 stage=3 hp=82%
[siege-trace] t137a__11 t=43377 (23,10) map=6 stage=3 hp=92%
[siege-trace] t137a__06 t=43377 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=43377 (23,10) map=6 stage=3 hp=64%
[siege-trace] t137a__03 t=43378 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=43378 (23,10) map=1 stage=3 hp=72%
[siege-trace] t137a__02 t=43379 (23,10) map=1 stage=3 hp=100%
[siege-trace] t137a__07 t=43384 (23,10) map=6 stage=3 hp=56%
[siege-trace] t137a__04 t=43406 (26,10) map=6 stage=4 hp=95%
[siege-trace] t137a__08 t=43406 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__01 t=43406 (23,10) map=6 stage=3 hp=72%
[siege-trace] t137a__00 t=43406 (26,10) map=6 stage=4 hp=97%
[siege-trace] t137a__09 t=43406 (26,10) map=1 stage=4 hp=82%
[siege-trace] t137a__11 t=43407 (26,10) map=6 stage=4 hp=98%
[siege-trace] t137a__06 t=43407 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=43407 (26,10) map=6 stage=4 hp=70%
