[boot] zone 2 (assets/maps/fields_overflow.bhmap: 64x48) online
[boot] zone 3 (assets/maps/thornwall_crypt.bhmap: 48x36) online
[boot] zone 4 (assets/maps/bonehowl_mine.bhmap: 56x40) online
[boot] zone 5 (assets/maps/drowned_crypt.bhmap: 48x36) online
[boot] zone 6 (assets/maps/weeping_castle.bhmap: 40x30) online
[rehearsal] siege window OPEN unconditionally (drill posture)
[auth] registration OPEN (prototype posture; --no-register to gate); limiter: 60 logins + 30 new accounts per 60s per IP, 10 consecutive bad-password fails -> 60s lockout
[journal] recording world to logs/t137_flip1.bwj (epoch 25)
[boot] bh_server on 0.0.0.0:7836 | map 'assets/maps/thornwall.bhmap' | db '/tmp/t137_flip1.db' | tick 20Hz | aoi 26
[net] t137d__00        entered the world (entity 207, online 1)
[net] t137d__01        entered the world (entity 208, online 2)
[net] t137d__02        entered the world (entity 209, online 3)
[net] t137d__03        entered the world (entity 210, online 4)
[net] t137a__00        entered the world (entity 211, online 5)
[net] t137d__04        entered the world (entity 212, online 6)
[net] t137d__05        entered the world (entity 213, online 7)
[net] t137a__01        entered the world (entity 214, online 8)
[net] t137a__02        entered the world (entity 215, online 9)
[net] t137a__03        entered the world (entity 216, online 10)
[net] t137a__04        entered the world (entity 217, online 11)
[net] t137a__05        entered the world (entity 218, online 12)
[net] t137a__06        entered the world (entity 219, online 13)
[net] t137a__07        entered the world (entity 220, online 14)
[net] t137a__08        entered the world (entity 221, online 15)
[net] t137a__09        entered the world (entity 222, online 16)
[net] t137a__10        entered the world (entity 223, online 17)
[net] t137a__11        entered the world (entity 224, online 18)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[siege] battle joined until tick 1980000 (8 bands)
[soak] tick=600 online=18 entities=216 tickUs p50=1022 p99=2525 worldHash=8e3273ff04f11454 pkts=450/300281
[zone] t137d__00 -> map 1 at (34,16)
[zone] t137d__00 -> map 1 at (34,16)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__01 -> map 1 at (32,16)
[zone] t137d__01 -> map 1 at (32,16)
[siege] Outer Gate breached by t137a__06
[soak] tick=1200 online=18 entities=210 tickUs p50=940 p99=1550 worldHash=41635d8d6b933ef4 pkts=907/533833
[zone] t137a__00 -> map 1 at (32,16)
[zone] t137a__00 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (21,14)
[zone] t137a__01 -> map 1 at (21,14)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__07 -> map 1 at (34,16)
[zone] t137a__07 -> map 1 at (34,16)
[zone] t137a__01 -> map 1 at (21,14)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__01 -> map 1 at (21,14)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (32,16)
[zone] t137a__04 -> map 1 at (32,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__11 -> map 1 at (34,16)
[zone] t137a__11 -> map 1 at (34,16)
[soak] tick=1800 online=18 entities=208 tickUs p50=861 p99=1543 worldHash=649c89004772c924 pkts=1675/810500
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__06 -> map 1 at (32,16)
[zone] t137a__06 -> map 1 at (32,16)
[siege] Inner Gate breached by t137a__11
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (34,16)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__00 -> map 1 at (32,16)
[zone] t137a__00 -> map 1 at (32,16)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__09 -> map 1 at (34,16)
[soak] tick=2400 online=18 entities=207 tickUs p50=954 p99=1612 worldHash=57a1adc91a765326 pkts=2399/1084839
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137d__01 -> map 1 at (34,16)
[zone] t137d__01 -> map 1 at (34,16)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__04 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (34,16)
[soak] tick=3000 online=18 entities=209 tickUs p50=1039 p99=1716 worldHash=99e074151b11e0de pkts=3132/1424995
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__05 -> map 1 at (32,16)
[zone] t137a__05 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[soak] tick=3600 online=18 entities=208 tickUs p50=990 p99=1635 worldHash=87a325ebbfc771af pkts=3836/1713376
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__00 -> map 1 at (32,16)
[zone] t137a__00 -> map 1 at (32,16)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137a__07 -> map 1 at (34,16)
[zone] t137a__07 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (34,16)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[soak] tick=4200 online=18 entities=210 tickUs p50=941 p99=1567 worldHash=e490fd0c2fd96b56 pkts=4558/1976497
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137a__01 -> map 1 at (34,16)
[zone] t137a__01 -> map 1 at (34,16)
[zone] t137a__06 -> map 1 at (34,16)
[zone] t137a__06 -> map 1 at (34,16)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[soak] tick=4800 online=18 entities=210 tickUs p50=1033 p99=1646 worldHash=0c13ee90318267b5 pkts=5331/2292003
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__00 -> map 1 at (21,14)
[zone] t137a__00 -> map 1 at (21,14)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137d__01 -> map 6 at (20,27)
[soak] tick=5400 online=18 entities=210 tickUs p50=1030 p99=1682 worldHash=d7fa5fa4ec751b46 pkts=6051/2628744
[zone] t137a__05 -> map 1 at (32,16)
[zone] t137a__05 -> map 1 at (32,16)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137a__01 -> map 1 at (34,16)
[zone] t137a__01 -> map 1 at (34,16)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__08 -> map 1 at (21,14)
[zone] t137a__08 -> map 1 at (21,14)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__08 -> map 1 at (21,14)
[zone] t137a__08 -> map 1 at (21,14)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__09 -> map 1 at (21,14)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__09 -> map 1 at (21,14)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[soak] tick=6000 online=18 entities=208 tickUs p50=1032 p99=1722 worldHash=3e8638530051ce28 pkts=6762/2955475
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__03 -> map 1 at (21,14)
[zone] t137a__03 -> map 1 at (21,14)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__01 -> map 1 at (34,16)
[zone] t137d__01 -> map 1 at (34,16)
[zone] t137a__11 -> map 1 at (34,16)
[zone] t137a__11 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__03 -> map 1 at (32,16)
[soak] tick=6600 online=18 entities=209 tickUs p50=1009 p99=1650 worldHash=f77af82d58e4651b pkts=7481/3260227
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137d__00 -> map 1 at (34,16)
[zone] t137d__00 -> map 1 at (34,16)
[zone] t137a__06 -> map 1 at (34,16)
[zone] t137a__06 -> map 1 at (34,16)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[soak] tick=7200 online=18 entities=208 tickUs p50=1026 p99=1695 worldHash=9b5df133470d1c96 pkts=8197/3572155
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__07 -> map 1 at (21,14)
[zone] t137a__07 -> map 1 at (21,14)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137d__03 -> map 1 at (32,16)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__04 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (34,16)
[soak] tick=7800 online=18 entities=207 tickUs p50=923 p99=1483 worldHash=11f878e86dfc05ce pkts=8884/3830031
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 1 at (21,14)
[zone] t137a__02 -> map 1 at (21,14)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137a__02 -> map 1 at (21,14)
[zone] t137a__02 -> map 1 at (21,14)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137a__07 -> map 1 at (34,16)
[zone] t137a__07 -> map 1 at (34,16)
[soak] tick=8400 online=18 entities=208 tickUs p50=970 p99=1538 worldHash=125e8330872b0e5f pkts=9559/4104520
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137a__03 -> map 1 at (32,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__05 -> map 1 at (34,16)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137d__04 -> map 6 at (20,27)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__09 -> map 1 at (34,16)
[soak] tick=9000 online=18 entities=209 tickUs p50=1014 p99=1637 worldHash=2744bde016ae8144 pkts=10324/4409733
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__03 -> map 6 at (20,27)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__04 -> map 1 at (34,16)
[zone] t137d__05 -> map 6 at (20,27)
[zone] t137d__05 -> map 6 at (20,27)
