[siege-trace] t137a__04 t=44986 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=44987 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=44987 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=44987 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=44987 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=44987 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=44987 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=44988 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=44989 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=44989 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=44989 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=44990 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__04 t=45016 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__08 t=45017 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=45017 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=45017 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=45017 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=45017 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=45018 (16,16) map=6 stage=2 hp=60%
[siege-trace] t137a__03 t=45019 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__05 t=45019 (24,14) map=1 stage=0 hp=94%
[siege-trace] t137a__02 t=45019 (27,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=45021 (12,24) map=6 stage=2 hp=95%
[siege-trace] t137a__07 t=45025 (14,23) map=6 stage=1 hp=51%
[siege-trace] t137a__04 t=45046 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__01 t=45047 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=45047 (23,10) map=6 stage=3 hp=90%
[siege-trace] t137a__09 t=45047 (23,10) map=6 stage=3 hp=89%
[siege-trace] t137a__06 t=45047 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__08 t=45048 (8,17) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=45048 (23,10) map=6 stage=3 hp=58%
[siege-trace] t137a__03 t=45049 (23,11) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=45049 (23,10) map=1 stage=3 hp=66%
[siege-trace] t137a__02 t=45049 (23,10) map=1 stage=3 hp=100%
[siege-trace] t137a__11 t=45051 (23,11) map=6 stage=3 hp=95%
[siege-trace] t137a__07 t=45055 (23,11) map=6 stage=3 hp=54%
[siege-trace] t137a__04 t=45076 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__01 t=45077 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__00 t=45077 (26,10) map=6 stage=4 hp=96%
[siege-trace] t137a__09 t=45077 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__06 t=45077 (26,10) map=6 stage=4 hp=93%
[siege-trace] t137a__08 t=45078 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=45078 (26,10) map=6 stage=4 hp=63%
[siege-trace] t137a__03 t=45079 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=45079 (26,10) map=1 stage=4 hp=72%
[siege-trace] t137a__02 t=45079 (26,10) map=1 stage=4 hp=100%
[siege-trace] t137a__11 t=45081 (26,10) map=6 stage=4 hp=93%
[siege-trace] t137a__07 t=45085 (26,10) map=6 stage=4 hp=59%
[siege-trace] t137a__04 t=45106 (18,19) map=6 stage=5 hp=91%
[siege-trace] t137a__01 t=45107 (26,11) map=6 stage=4 hp=100%
[siege-trace] t137a__00 t=45107 (19,19) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=45107 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45107 (19,19) map=6 stage=5 hp=99%
[siege-trace] t137a__08 t=45108 (26,11) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=45108 (19,19) map=6 stage=5 hp=68%
[siege-trace] t137a__03 t=45109 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45109 (28,10) map=1 stage=5 hp=77%
[siege-trace] t137a__02 t=45109 (44,6) map=1 stage=5 hp=98%
[siege-trace] t137a__11 t=45111 (28,10) map=6 stage=5 hp=88%
[siege-trace] t137a__07 t=45115 (28,10) map=6 stage=5 hp=64%
[siege-trace] t137a__04 t=45136 (24,16) map=6 stage=5 hp=85%
[siege-trace] t137a__01 t=45137 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45137 (23,15) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=45137 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45137 (23,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45138 (24,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45138 (23,15) map=6 stage=5 hp=74%
[siege-trace] t137a__03 t=45139 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45139 (28,10) map=1 stage=5 hp=83%
[siege-trace] t137a__02 t=45139 (53,13) map=1 stage=5 hp=7%
[siege-trace] t137a__11 t=45141 (28,10) map=6 stage=5 hp=93%
[siege-trace] t137a__07 t=45145 (28,10) map=6 stage=5 hp=70%
[siege-trace] t137a__04 t=45166 (25,19) map=6 stage=5 hp=89%
[siege-trace] t137a__01 t=45167 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45167 (25,19) map=6 stage=5 hp=89%
[siege-trace] t137a__09 t=45167 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45167 (25,19) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45168 (25,19) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45168 (25,19) map=6 stage=5 hp=79%
[siege-trace] t137a__03 t=45169 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45169 (28,10) map=1 stage=5 hp=87%
[siege-trace] t137a__02 t=45169 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=45171 (28,10) map=6 stage=5 hp=99%
[siege-trace] t137a__07 t=45175 (28,10) map=6 stage=5 hp=75%
[siege-trace] t137a__04 t=45196 (19,15) map=6 stage=5 hp=94%
[siege-trace] t137a__01 t=45197 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45197 (19,15) map=6 stage=5 hp=86%
[siege-trace] t137a__09 t=45197 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45197 (19,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45198 (19,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45198 (19,15) map=6 stage=5 hp=85%
[siege-trace] t137a__03 t=45199 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45199 (28,10) map=1 stage=5 hp=89%
[siege-trace] t137a__02 t=45199 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__11 t=45201 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45205 (28,10) map=6 stage=5 hp=81%
[siege-trace] t137a__04 t=45226 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45227 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45227 (16,16) map=6 stage=5 hp=84%
[siege-trace] t137a__09 t=45227 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45227 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45228 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45228 (16,16) map=6 stage=5 hp=90%
[siege-trace] t137a__03 t=45229 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45229 (28,10) map=1 stage=5 hp=90%
[siege-trace] t137a__02 t=45230 (18,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=45231 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45235 (28,10) map=6 stage=5 hp=86%
[siege-trace] t137a__04 t=45256 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45257 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45257 (21,17) map=6 stage=5 hp=77%
[siege-trace] t137a__09 t=45257 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45257 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45258 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45258 (21,17) map=6 stage=5 hp=96%
[siege-trace] t137a__03 t=45259 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45259 (28,10) map=1 stage=5 hp=91%
[siege-trace] t137a__02 t=45260 (22,17) map=6 stage=5 hp=94%
[siege-trace] t137a__11 t=45261 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45265 (28,10) map=6 stage=5 hp=92%
[siege-trace] t137a__04 t=45286 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45287 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45287 (14,15) map=6 stage=5 hp=82%
[siege-trace] t137a__09 t=45287 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45287 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45288 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45288 (14,15) map=6 stage=5 hp=95%
[siege-trace] t137a__03 t=45289 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45289 (28,10) map=1 stage=5 hp=94%
[siege-trace] t137a__02 t=45290 (14,15) map=6 stage=5 hp=96%
[siege-trace] t137a__11 t=45291 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45295 (28,10) map=6 stage=5 hp=97%
[siege-trace] t137a__04 t=45316 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45317 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45317 (25,20) map=6 stage=5 hp=83%
[siege-trace] t137a__09 t=45317 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45317 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45318 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45318 (25,20) map=6 stage=5 hp=94%
[siege-trace] t137a__03 t=45319 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45319 (28,10) map=1 stage=5 hp=97%
[siege-trace] t137a__02 t=45320 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=45321 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45325 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45347 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45347 (20,15) map=6 stage=5 hp=82%
[siege-trace] t137a__04 t=45347 (20,15) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=45347 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45348 (24,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45348 (24,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45348 (24,18) map=6 stage=5 hp=97%
[siege-trace] t137a__03 t=45349 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45349 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=45350 (25,19) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=45351 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45355 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45377 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45377 (17,15) map=6 stage=5 hp=80%
[siege-trace] t137a__04 t=45377 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=45377 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45378 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45378 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45378 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=45379 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45379 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=45380 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=45381 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45385 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45407 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45407 (16,17) map=6 stage=5 hp=73%
[siege-trace] t137a__04 t=45407 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=45407 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45408 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45408 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=45408 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=45409 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=45409 (28,10) map=1 stage=5 hp=96%
[siege-trace] t137a__02 t=45410 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=45411 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=45415 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=45437 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=45437 (26,18) map=6 stage=5 hp=67%
[siege-trace] t137a__04 t=45437 (26,18) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=45437 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=45438 (26,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=45438 (26,18) map=6 stage=5 hp=100%
