[siege-trace] t137a__04 t=33446 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=33446 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=33446 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=33446 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=33446 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=33446 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=33447 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=33447 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=33448 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=33448 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=33449 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=33449 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=33477 (26,19) map=6 stage=2 hp=100%
[siege-trace] t137a__01 t=33477 (36,28) map=6 stage=2 hp=100%
[siege-trace] t137a__04 t=33477 (10,7) map=6 stage=2 hp=68%
[siege-trace] t137a__06 t=33478 (9,19) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=33478 (15,21) map=6 stage=2 hp=97%
[siege-trace] t137a__08 t=33479 (21,3) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=33480 (10,19) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=33480 (2,24) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=33480 (27,26) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=33481 (30,14) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=33481 (32,6) map=6 stage=2 hp=100%
[siege-trace] t137a__07 t=33485 (20,18) map=6 stage=2 hp=98%
[siege-trace] t137a__00 t=33507 (23,10) map=6 stage=3 hp=94%
[siege-trace] t137a__01 t=33507 (22,11) map=6 stage=3 hp=79%
[siege-trace] t137a__04 t=33507 (20,27) map=6 stage=0 hp=100%
[siege-trace] t137a__06 t=33508 (24,10) map=6 stage=3 hp=89%
[siege-trace] t137a__03 t=33508 (23,10) map=6 stage=3 hp=91%
[siege-trace] t137a__08 t=33509 (23,10) map=6 stage=3 hp=59%
[siege-trace] t137a__10 t=33510 (23,10) map=6 stage=3 hp=23%
[siege-trace] t137a__02 t=33510 (23,10) map=1 stage=3 hp=100%
[siege-trace] t137a__11 t=33510 (23,10) map=6 stage=3 hp=18%
[siege-trace] t137a__05 t=33511 (23,10) map=6 stage=3 hp=94%
[siege-trace] t137a__09 t=33514 (32,16) map=1 stage=1 hp=100%
[siege-trace] t137a__07 t=33517 (32,16) map=1 stage=1 hp=100%
[siege-trace] t137a__00 t=33537 (26,10) map=1 stage=4 hp=67%
[siege-trace] t137a__01 t=33537 (26,10) map=6 stage=4 hp=54%
[siege-trace] t137a__04 t=33537 (23,10) map=6 stage=3 hp=70%
[siege-trace] t137a__06 t=33538 (23,10) map=1 stage=3 hp=94%
[siege-trace] t137a__03 t=33538 (26,10) map=6 stage=4 hp=87%
[siege-trace] t137a__08 t=33539 (31,15) map=1 stage=3 hp=100%
[siege-trace] t137a__10 t=33540 (26,10) map=1 stage=4 hp=48%
[siege-trace] t137a__11 t=33540 (26,10) map=6 stage=4 hp=14%
[siege-trace] t137a__02 t=33541 (23,22) map=6 stage=1 hp=100%
[siege-trace] t137a__05 t=33541 (26,10) map=6 stage=4 hp=72%
[siege-trace] t137a__09 t=33544 (26,10) map=6 stage=1 hp=0%
[siege-trace] t137a__07 t=33547 (26,10) map=1 stage=4 hp=36%
[siege-trace] t137a__01 t=33567 (26,10) map=1 stage=4 hp=94%
[siege-trace] t137a__00 t=33567 (28,10) map=1 stage=5 hp=19%
[siege-trace] t137a__04 t=33568 (24,14) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=33568 (26,10) map=1 stage=4 hp=48%
[siege-trace] t137a__03 t=33569 (32,16) map=1 stage=1 hp=100%
[siege-trace] t137a__08 t=33569 (27,10) map=1 stage=0 hp=0%
[siege-trace] t137a__10 t=33570 (28,10) map=1 stage=5 hp=51%
[siege-trace] t137a__11 t=33570 (28,10) map=6 stage=5 hp=1%
[siege-trace] t137a__02 t=33571 (24,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=33571 (28,10) map=6 stage=5 hp=26%
[siege-trace] t137a__09 t=33574 (23,10) map=1 stage=3 hp=6%
[siege-trace] t137a__07 t=33577 (26,14) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=33597 (28,10) map=1 stage=5 hp=63%
[siege-trace] t137a__00 t=33597 (23,10) map=6 stage=3 hp=92%
[siege-trace] t137a__04 t=33598 (26,10) map=6 stage=4 hp=26%
[siege-trace] t137a__06 t=33598 (26,10) map=6 stage=4 hp=47%
[siege-trace] t137a__03 t=33599 (23,10) map=6 stage=3 hp=50%
[siege-trace] t137a__08 t=33600 (26,10) map=1 stage=4 hp=98%
[siege-trace] t137a__10 t=33600 (28,10) map=1 stage=5 hp=48%
[siege-trace] t137a__11 t=33600 (23,10) map=6 stage=3 hp=44%
[siege-trace] t137a__02 t=33601 (25,10) map=6 stage=4 hp=38%
[siege-trace] t137a__05 t=33601 (28,10) map=6 stage=5 hp=21%
[siege-trace] t137a__09 t=33604 (24,10) map=6 stage=3 hp=73%
[siege-trace] t137a__07 t=33607 (23,10) map=1 stage=3 hp=76%
[siege-trace] t137a__01 t=33627 (23,10) map=6 stage=3 hp=30%
[siege-trace] t137a__00 t=33627 (26,10) map=1 stage=4 hp=88%
[siege-trace] t137a__04 t=33628 (26,10) map=1 stage=4 hp=19%
[siege-trace] t137a__06 t=33628 (24,10) map=1 stage=3 hp=74%
[siege-trace] t137a__03 t=33629 (28,10) map=1 stage=3 hp=94%
[siege-trace] t137a__11 t=33630 (26,10) map=1 stage=4 hp=54%
[siege-trace] t137a__08 t=33630 (28,10) map=1 stage=5 hp=89%
[siege-trace] t137a__10 t=33630 (28,10) map=1 stage=5 hp=30%
[siege-trace] t137a__02 t=33631 (24,10) map=1 stage=3 hp=62%
[siege-trace] t137a__05 t=33631 (24,10) map=1 stage=3 hp=41%
[siege-trace] t137a__09 t=33634 (26,10) map=6 stage=4 hp=13%
[siege-trace] t137a__07 t=33637 (26,10) map=1 stage=4 hp=41%
[siege-trace] t137a__01 t=33657 (26,10) map=1 stage=4 hp=97%
[siege-trace] t137a__00 t=33657 (28,10) map=1 stage=5 hp=65%
