[siege-trace] t137a__04 t=28394 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=28395 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=28395 (23,30) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=28395 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=28395 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=28395 (37,15) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=28395 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=28395 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=28396 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=28397 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=28397 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=28398 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=28425 (9,24) map=6 stage=2 hp=100%
[siege-trace] t137a__01 t=28425 (5,14) map=6 stage=2 hp=96%
[siege-trace] t137a__10 t=28426 (37,14) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=28427 (32,10) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=28427 (31,14) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=28427 (19,9) map=6 stage=2 hp=95%
[siege-trace] t137a__08 t=28427 (36,15) map=6 stage=2 hp=95%
[siege-trace] t137a__04 t=28428 (20,16) map=6 stage=2 hp=75%
[siege-trace] t137a__07 t=28428 (28,1) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=28428 (26,13) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=28429 (27,21) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=28429 (33,17) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=28456 (23,10) map=6 stage=3 hp=94%
[siege-trace] t137a__00 t=28456 (32,16) map=1 stage=1 hp=100%
[siege-trace] t137a__01 t=28457 (32,16) map=1 stage=1 hp=100%
[siege-trace] t137a__06 t=28457 (23,11) map=6 stage=3 hp=93%
[siege-trace] t137a__11 t=28457 (23,10) map=6 stage=3 hp=74%
[siege-trace] t137a__02 t=28457 (23,10) map=6 stage=3 hp=74%
[siege-trace] t137a__08 t=28457 (23,10) map=6 stage=3 hp=72%
[siege-trace] t137a__04 t=28458 (23,10) map=6 stage=3 hp=81%
[siege-trace] t137a__07 t=28458 (23,10) map=6 stage=3 hp=14%
[siege-trace] t137a__09 t=28458 (23,11) map=6 stage=3 hp=84%
[siege-trace] t137a__05 t=28459 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__03 t=28459 (23,10) map=6 stage=3 hp=0%
[siege-trace] t137a__10 t=28486 (26,10) map=6 stage=4 hp=65%
[siege-trace] t137a__00 t=28486 (22,17) map=6 stage=1 hp=100%
[siege-trace] t137a__11 t=28487 (23,10) map=1 stage=3 hp=82%
[siege-trace] t137a__02 t=28487 (26,10) map=1 stage=4 hp=100%
[siege-trace] t137a__06 t=28487 (31,11) map=1 stage=3 hp=100%
[siege-trace] t137a__08 t=28487 (26,10) map=6 stage=4 hp=22%
[siege-trace] t137a__01 t=28488 (32,16) map=1 stage=1 hp=100%
[siege-trace] t137a__04 t=28488 (26,10) map=6 stage=4 hp=63%
[siege-trace] t137a__07 t=28488 (26,10) map=1 stage=4 hp=46%
[siege-trace] t137a__09 t=28488 (26,10) map=6 stage=4 hp=20%
[siege-trace] t137a__05 t=28489 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__03 t=28489 (26,10) map=1 stage=4 hp=42%
[siege-trace] t137a__10 t=28516 (27,10) map=6 stage=5 hp=49%
[siege-trace] t137a__00 t=28516 (24,10) map=1 stage=3 hp=64%
[siege-trace] t137a__11 t=28517 (27,10) map=1 stage=4 hp=19%
[siege-trace] t137a__02 t=28517 (27,10) map=1 stage=5 hp=69%
[siege-trace] t137a__06 t=28517 (26,10) map=1 stage=4 hp=57%
[siege-trace] t137a__08 t=28517 (28,10) map=6 stage=5 hp=13%
[siege-trace] t137a__04 t=28518 (23,10) map=6 stage=3 hp=96%
[siege-trace] t137a__07 t=28518 (28,10) map=1 stage=5 hp=50%
[siege-trace] t137a__01 t=28518 (20,27) map=6 stage=0 hp=100%
[siege-trace] t137a__09 t=28518 (23,10) map=1 stage=3 hp=56%
[siege-trace] t137a__05 t=28519 (27,10) map=6 stage=5 hp=75%
[siege-trace] t137a__03 t=28519 (28,10) map=1 stage=5 hp=46%
[siege-trace] t137a__10 t=28546 (27,10) map=6 stage=5 hp=51%
[siege-trace] t137a__00 t=28547 (26,10) map=1 stage=4 hp=19%
[siege-trace] t137a__11 t=28547 (10,25) map=6 stage=1 hp=100%
[siege-trace] t137a__06 t=28547 (28,10) map=1 stage=5 hp=1%
[siege-trace] t137a__02 t=28547 (23,14) map=6 stage=3 hp=100%
[siege-trace] t137a__08 t=28548 (23,10) map=1 stage=3 hp=6%
[siege-trace] t137a__04 t=28548 (23,10) map=1 stage=3 hp=77%
[siege-trace] t137a__07 t=28548 (28,10) map=1 stage=5 hp=3%
[siege-trace] t137a__01 t=28548 (26,10) map=1 stage=4 hp=68%
[siege-trace] t137a__05 t=28549 (28,12) map=1 stage=3 hp=100%
[siege-trace] t137a__03 t=28550 (21,28) map=6 stage=1 hp=100%
[siege-trace] t137a__09 t=28552 (26,18) map=6 stage=1 hp=95%
[siege-trace] t137a__10 t=28576 (27,10) map=6 stage=5 hp=18%
[siege-trace] t137a__11 t=28577 (24,10) map=6 stage=3 hp=96%
[siege-trace] t137a__00 t=28577 (23,10) map=6 stage=4 hp=0%
[siege-trace] t137a__06 t=28577 (23,10) map=6 stage=3 hp=64%
[siege-trace] t137a__02 t=28577 (26,10) map=6 stage=4 hp=46%
[siege-trace] t137a__08 t=28578 (26,10) map=6 stage=4 hp=82%
[siege-trace] t137a__07 t=28578 (23,10) map=6 stage=3 hp=61%
[siege-trace] t137a__01 t=28578 (28,10) map=1 stage=5 hp=23%
[siege-trace] t137a__05 t=28579 (26,10) map=1 stage=4 hp=70%
[siege-trace] t137a__03 t=28580 (24,10) map=6 stage=3 hp=55%
[siege-trace] t137a__04 t=28581 (13,20) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=28585 (21,27) map=6 stage=1 hp=100%
[siege-trace] t137a__10 t=28606 (23,10) map=6 stage=3 hp=89%
[siege-trace] t137a__11 t=28607 (26,10) map=6 stage=4 hp=100%
