[siege-trace] t137a__04 t=35807 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=35808 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=35808 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=35808 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=35808 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=35808 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=35808 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=35808 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=35809 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=35810 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=35810 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=35811 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__04 t=35838 (36,13) map=6 stage=2 hp=78%
[siege-trace] t137a__08 t=35838 (13,27) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=35839 (35,8) map=6 stage=2 hp=96%
[siege-trace] t137a__01 t=35840 (29,7) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=35840 (17,16) map=6 stage=2 hp=100%
[siege-trace] t137a__00 t=35840 (19,18) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=35840 (35,3) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=35842 (14,18) map=6 stage=2 hp=94%
[siege-trace] t137a__10 t=35843 (18,19) map=6 stage=2 hp=84%
[siege-trace] t137a__07 t=35843 (34,17) map=6 stage=2 hp=97%
[siege-trace] t137a__03 t=35843 (33,9) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=35844 (33,5) map=6 stage=2 hp=98%
[siege-trace] t137a__04 t=35868 (23,10) map=6 stage=3 hp=84%
[siege-trace] t137a__08 t=35868 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__09 t=35869 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__01 t=35870 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=35870 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__00 t=35870 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=35870 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__06 t=35872 (23,10) map=6 stage=3 hp=96%
[siege-trace] t137a__10 t=35873 (23,10) map=6 stage=3 hp=89%
[siege-trace] t137a__07 t=35873 (23,10) map=6 stage=3 hp=86%
[siege-trace] t137a__03 t=35873 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__02 t=35874 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__04 t=35898 (26,10) map=6 stage=4 hp=89%
[siege-trace] t137a__08 t=35898 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__09 t=35899 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__01 t=35900 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=35900 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__00 t=35900 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__11 t=35900 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__06 t=35902 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=35903 (26,10) map=6 stage=4 hp=95%
[siege-trace] t137a__07 t=35903 (26,10) map=6 stage=4 hp=92%
[siege-trace] t137a__03 t=35903 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__02 t=35904 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__04 t=35928 (28,10) map=6 stage=5 hp=95%
[siege-trace] t137a__08 t=35928 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35929 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=35930 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35930 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=35930 (18,18) map=6 stage=5 hp=61%
[siege-trace] t137a__11 t=35930 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=35932 (17,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35933 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35933 (28,10) map=6 stage=5 hp=97%
[siege-trace] t137a__03 t=35933 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=35934 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=35958 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=35958 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35959 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=35960 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35960 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=35960 (13,14) map=6 stage=5 hp=54%
[siege-trace] t137a__11 t=35960 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=35962 (13,14) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35963 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35963 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=35963 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=35964 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=35988 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=35988 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35989 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=35990 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35990 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=35990 (16,15) map=6 stage=5 hp=33%
[siege-trace] t137a__11 t=35990 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=35992 (16,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35993 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35993 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=35993 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=35994 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36018 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36018 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36019 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36020 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36020 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36020 (24,19) map=6 stage=5 hp=32%
[siege-trace] t137a__11 t=36020 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=36022 (24,19) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=36023 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36023 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36023 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36024 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36048 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36048 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36049 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36050 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36050 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36050 (18,15) map=6 stage=5 hp=22%
[siege-trace] t137a__11 t=36050 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=36052 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=36053 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36053 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36053 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36054 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36078 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36078 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36079 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36080 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36080 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36080 (19,18) map=6 stage=5 hp=4%
[siege-trace] t137a__11 t=36080 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=36082 (19,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=36083 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36083 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36083 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36084 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36108 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36108 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36109 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36110 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36110 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36110 (27,17) map=6 stage=5 hp=8%
[siege-trace] t137a__11 t=36110 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=36112 (27,17) map=6 stage=5 hp=87%
[siege-trace] t137a__10 t=36113 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36113 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36113 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36114 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36138 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36138 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36139 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36140 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36140 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=36140 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36140 (24,10) map=1 stage=3 hp=100%
[siege-trace] t137a__06 t=36142 (28,11) map=6 stage=5 hp=92%
[siege-trace] t137a__10 t=36143 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36143 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36143 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36144 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36168 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36168 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36169 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36170 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36170 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=36170 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36170 (26,10) map=1 stage=4 hp=87%
[siege-trace] t137a__06 t=36172 (20,13) map=6 stage=5 hp=87%
[siege-trace] t137a__10 t=36173 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36173 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36173 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36174 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36198 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36198 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36199 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=36200 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36200 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=36200 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=36201 (14,3) map=1 stage=5 hp=90%
[siege-trace] t137a__06 t=36202 (16,18) map=6 stage=5 hp=56%
[siege-trace] t137a__10 t=36203 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36203 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36203 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36204 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36228 (28,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36228 (28,10) map=6 stage=5 hp=100%
