[siege-trace] t137a__04 t=41155 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=41155 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=41155 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=41155 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=41155 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=41155 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=41156 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=41156 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=41157 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=41157 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=41157 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=41158 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=41186 (25,5) map=6 stage=2 hp=100%
[siege-trace] t137a__00 t=41186 (17,13) map=6 stage=2 hp=97%
[siege-trace] t137a__08 t=41187 (15,22) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=41187 (31,24) map=6 stage=2 hp=100%
[siege-trace] t137a__04 t=41187 (15,19) map=6 stage=2 hp=77%
[siege-trace] t137a__09 t=41188 (24,16) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=41188 (16,14) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=41188 (29,17) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=41189 (8,15) map=6 stage=2 hp=100%
[siege-trace] t137a__01 t=41189 (29,8) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=41189 (10,24) map=6 stage=2 hp=100%
[siege-trace] t137a__07 t=41191 (32,26) map=6 stage=2 hp=98%
[siege-trace] t137a__11 t=41216 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__00 t=41216 (23,10) map=6 stage=3 hp=95%
[siege-trace] t137a__08 t=41217 (23,10) map=6 stage=3 hp=91%
[siege-trace] t137a__06 t=41217 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__04 t=41217 (23,10) map=6 stage=3 hp=82%
[siege-trace] t137a__09 t=41218 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__02 t=41218 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=41218 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=41219 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__01 t=41219 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__03 t=41219 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__07 t=41221 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=41246 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__00 t=41246 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__08 t=41247 (26,10) map=6 stage=4 hp=97%
[siege-trace] t137a__06 t=41247 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__04 t=41247 (26,10) map=6 stage=4 hp=88%
[siege-trace] t137a__09 t=41248 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__02 t=41248 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=41248 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=41249 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__01 t=41249 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__03 t=41249 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__07 t=41251 (26,10) map=6 stage=4 hp=97%
[siege-trace] t137a__11 t=41276 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=41276 (31,19) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=41277 (31,19) map=6 stage=5 hp=97%
[siege-trace] t137a__06 t=41277 (31,19) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=41277 (31,19) map=6 stage=5 hp=83%
[siege-trace] t137a__09 t=41278 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=41278 (31,19) map=6 stage=5 hp=100%
