[siege-trace] t137d__04 t=47258 (25,16) map=1 stage=0 hp=100%
[siege-trace] t137d__15 t=47258 (36,24) map=1 stage=0 hp=100%
[siege-trace] t137d__08 t=47258 (28,1) map=1 stage=0 hp=100%
[siege-trace] t137d__01 t=47258 (26,2) map=1 stage=0 hp=100%
[siege-trace] t137d__00 t=47258 (40,26) map=1 stage=0 hp=100%
[siege-trace] t137d__11 t=47258 (57,15) map=1 stage=0 hp=100%
[siege-trace] t137d__09 t=47258 (27,10) map=1 stage=0 hp=100%
[siege-trace] t137d__06 t=47259 (37,12) map=1 stage=0 hp=100%
[siege-trace] t137d__12 t=47259 (43,11) map=1 stage=0 hp=100%
[siege-trace] t137d__13 t=47259 (50,23) map=1 stage=0 hp=100%
[siege-trace] t137d__10 t=47259 (21,26) map=1 stage=0 hp=100%
[siege-trace] t137d__05 t=47260 (20,24) map=1 stage=0 hp=100%
[siege-trace] t137d__03 t=47260 (50,27) map=1 stage=0 hp=100%
[siege-trace] t137d__14 t=47260 (43,21) map=1 stage=0 hp=100%
[siege-trace] t137d__02 t=47260 (34,11) map=1 stage=0 hp=100%
[siege-trace] t137d__07 t=47261 (19,46) map=1 stage=0 hp=100%
[siege-trace] t137d__04 t=47288 (28,10) map=6 stage=11 hp=29%
[siege-trace] t137d__15 t=47288 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47288 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47288 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47288 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47288 (28,10) map=6 stage=11 hp=99%
[siege-trace] t137d__09 t=47288 (28,10) map=6 stage=11 hp=88%
[siege-trace] t137d__06 t=47289 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47289 (28,10) map=6 stage=11 hp=99%
[siege-trace] t137d__13 t=47289 (28,10) map=6 stage=11 hp=99%
[siege-trace] t137d__10 t=47289 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47290 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47290 (28,10) map=6 stage=11 hp=97%
[siege-trace] t137d__14 t=47290 (28,10) map=6 stage=11 hp=100%
