[siege-trace] t137a__04 t=36851 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=36852 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=36852 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=36852 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=36852 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=36852 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=36852 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=36852 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=36853 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=36853 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=36854 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=36855 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=36882 (10,26) map=6 stage=2 hp=100%
[siege-trace] t137a__04 t=36883 (11,25) map=6 stage=2 hp=76%
[siege-trace] t137a__00 t=36883 (28,17) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=36883 (10,24) map=6 stage=2 hp=100%
[siege-trace] t137a__08 t=36884 (17,26) map=6 stage=2 hp=96%
[siege-trace] t137a__06 t=36885 (33,20) map=6 stage=2 hp=99%
[siege-trace] t137a__09 t=36885 (8,27) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=36885 (37,2) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=36886 (26,22) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=36886 (31,4) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=36888 (20,5) map=6 stage=2 hp=100%
[siege-trace] t137a__07 t=36889 (9,8) map=6 stage=2 hp=99%
[siege-trace] t137a__01 t=36912 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__04 t=36913 (23,10) map=6 stage=3 hp=81%
[siege-trace] t137a__00 t=36913 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=36913 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__08 t=36914 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__06 t=36915 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__09 t=36915 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__02 t=36915 (23,10) map=6 stage=3 hp=97%
[siege-trace] t137a__10 t=36916 (23,10) map=6 stage=3 hp=91%
[siege-trace] t137a__03 t=36916 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=36918 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__07 t=36919 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__01 t=36942 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__04 t=36943 (26,10) map=6 stage=4 hp=87%
[siege-trace] t137a__00 t=36943 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__11 t=36943 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__08 t=36944 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__06 t=36945 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__09 t=36945 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__02 t=36945 (26,10) map=6 stage=4 hp=99%
[siege-trace] t137a__10 t=36946 (26,10) map=6 stage=4 hp=97%
[siege-trace] t137a__03 t=36946 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=36948 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__07 t=36949 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__01 t=36972 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=36973 (23,25) map=6 stage=5 hp=81%
[siege-trace] t137a__00 t=36973 (23,26) map=6 stage=5 hp=91%
[siege-trace] t137a__11 t=36973 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=36974 (23,25) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=36975 (23,25) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=36975 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=36975 (23,25) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=36976 (23,26) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=36976 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=36978 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=36979 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37002 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37003 (27,11) map=6 stage=5 hp=85%
[siege-trace] t137a__00 t=37003 (27,11) map=6 stage=5 hp=95%
[siege-trace] t137a__11 t=37003 (28,10) map=6 stage=5 hp=95%
[siege-trace] t137a__08 t=37004 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37005 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37005 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37005 (27,11) map=6 stage=5 hp=97%
[siege-trace] t137a__10 t=37006 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37006 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37008 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37009 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37032 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37033 (19,12) map=6 stage=5 hp=90%
[siege-trace] t137a__00 t=37033 (19,12) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37033 (28,10) map=6 stage=5 hp=98%
[siege-trace] t137a__08 t=37034 (19,12) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37035 (19,12) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37035 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37035 (19,12) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37036 (19,12) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37036 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37038 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37039 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37062 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37063 (18,15) map=6 stage=5 hp=96%
[siege-trace] t137a__00 t=37063 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37063 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=37064 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37065 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37065 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37065 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37066 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37067 (19,17) map=6 stage=5 hp=97%
[siege-trace] t137a__05 t=37068 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37069 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37092 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37093 (19,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37093 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37094 (15,17) map=6 stage=5 hp=95%
[siege-trace] t137a__08 t=37094 (15,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37095 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37095 (17,17) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37095 (17,17) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37096 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37097 (17,17) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37098 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37099 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37122 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37123 (12,14) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37123 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37124 (12,14) map=6 stage=5 hp=82%
[siege-trace] t137a__08 t=37124 (12,14) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37125 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37125 (12,14) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37125 (12,14) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37126 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37127 (12,14) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37128 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37129 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37152 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37153 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37153 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37154 (24,17) map=6 stage=5 hp=81%
[siege-trace] t137a__08 t=37154 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37155 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37155 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37155 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37156 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37157 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37158 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37159 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37182 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37183 (20,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37183 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37184 (20,17) map=6 stage=5 hp=79%
[siege-trace] t137a__08 t=37184 (20,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37185 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37185 (20,17) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37185 (20,17) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37186 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37187 (23,17) map=6 stage=5 hp=95%
[siege-trace] t137a__05 t=37188 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37189 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37212 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37213 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37213 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37214 (18,17) map=6 stage=5 hp=77%
[siege-trace] t137a__08 t=37214 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37215 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37215 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37215 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37216 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37217 (18,17) map=6 stage=5 hp=97%
[siege-trace] t137a__05 t=37218 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37219 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37242 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37243 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37243 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37244 (18,15) map=6 stage=5 hp=71%
[siege-trace] t137a__08 t=37244 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37245 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37245 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37245 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37246 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37247 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37248 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37249 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37272 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37273 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37273 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37274 (24,20) map=6 stage=5 hp=75%
[siege-trace] t137a__08 t=37274 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37275 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37275 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=37275 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=37276 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=37277 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=37278 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=37279 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=37302 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=37303 (21,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=37303 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=37304 (21,16) map=6 stage=5 hp=71%
[siege-trace] t137a__08 t=37304 (21,16) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=37305 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=37305 (21,16) map=6 stage=5 hp=100%
