[siege-trace] t137a__04 t=34960 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=34960 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=34960 (19,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=34960 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=34960 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=34960 (37,15) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=34961 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=34961 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=34962 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=34962 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=34962 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=34963 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=34991 (30,18) map=6 stage=2 hp=100%
[siege-trace] t137a__09 t=34991 (6,24) map=6 stage=2 hp=100%
[siege-trace] t137a__08 t=34992 (21,21) map=6 stage=2 hp=100%
[siege-trace] t137a__11 t=34993 (12,18) map=6 stage=2 hp=100%
[siege-trace] t137a__05 t=34993 (27,22) map=6 stage=2 hp=100%
[siege-trace] t137a__03 t=34994 (38,15) map=6 stage=2 hp=100%
[siege-trace] t137a__10 t=34994 (13,27) map=6 stage=2 hp=100%
[siege-trace] t137a__07 t=34994 (16,22) map=6 stage=2 hp=98%
[siege-trace] t137a__04 t=34995 (5,8) map=6 stage=2 hp=74%
[siege-trace] t137a__00 t=34995 (36,17) map=6 stage=2 hp=100%
[siege-trace] t137a__06 t=34995 (20,23) map=6 stage=2 hp=100%
[siege-trace] t137a__02 t=34996 (31,24) map=6 stage=2 hp=100%
[siege-trace] t137a__01 t=35021 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__09 t=35021 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__08 t=35022 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__11 t=35023 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=35023 (23,10) map=6 stage=3 hp=95%
[siege-trace] t137a__03 t=35024 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=35024 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__07 t=35024 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__04 t=35025 (23,10) map=6 stage=3 hp=79%
[siege-trace] t137a__00 t=35025 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__06 t=35025 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__02 t=35026 (23,10) map=6 stage=3 hp=92%
[siege-trace] t137a__01 t=35051 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__09 t=35051 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__08 t=35052 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__11 t=35053 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=35053 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__03 t=35054 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=35054 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__07 t=35054 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__04 t=35055 (26,10) map=6 stage=4 hp=85%
[siege-trace] t137a__00 t=35055 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__06 t=35055 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__02 t=35056 (26,10) map=6 stage=4 hp=98%
[siege-trace] t137a__01 t=35081 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35081 (19,21) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=35082 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=35083 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35083 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=35084 (20,20) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35084 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35084 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=35085 (28,10) map=6 stage=5 hp=90%
[siege-trace] t137a__00 t=35085 (20,20) map=6 stage=5 hp=88%
[siege-trace] t137a__06 t=35085 (19,21) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=35086 (28,10) map=6 stage=5 hp=95%
[siege-trace] t137a__01 t=35111 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35111 (18,19) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=35112 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=35113 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35113 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=35114 (18,19) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35114 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35114 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=35115 (28,10) map=6 stage=5 hp=95%
[siege-trace] t137a__00 t=35115 (18,19) map=6 stage=5 hp=86%
[siege-trace] t137a__06 t=35115 (18,19) map=6 stage=5 hp=93%
[siege-trace] t137a__02 t=35116 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=35141 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35141 (27,18) map=6 stage=5 hp=94%
[siege-trace] t137a__08 t=35142 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=35143 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35143 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=35144 (27,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35144 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35144 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=35145 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=35145 (27,18) map=6 stage=5 hp=81%
[siege-trace] t137a__06 t=35145 (27,18) map=6 stage=5 hp=98%
[siege-trace] t137a__02 t=35146 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=35171 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35171 (19,16) map=6 stage=5 hp=98%
[siege-trace] t137a__08 t=35172 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=35173 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35173 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=35174 (23,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=35174 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=35174 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__04 t=35175 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=35175 (23,16) map=6 stage=5 hp=85%
[siege-trace] t137a__06 t=35175 (23,16) map=6 stage=5 hp=100%
[siege-trace] t137a__02 t=35176 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=35201 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=35201 (19,16) map=6 stage=5 hp=88%
[siege-trace] t137a__08 t=35202 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=35203 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=35203 (28,10) map=6 stage=5 hp=100%
